Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
06/25/2019 12:00:00 AM,Culiseta,incidens,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
09/09/2003 12:00:00 AM,Culiseta,inornata,Female,,21,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
06/17/1997 12:00:00 AM,Aedes,dorsalis,Female,,16,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
07/25/2017 12:00:00 AM,Culiseta,alaskaensis,Female,,1,Outer Community-South East,,Outer,53.33787710,-113.34249250,POINT (-113.3424925 53.3378771)
07/29/2003 12:00:00 AM,Culex,tarsalis,Female,,1,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
07/10/2018 12:00:00 AM,Male,UnID,Male,UnID,31,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
09/26/2017 12:00:00 AM,Culiseta,inornata,Female,,5,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
06/30/2015 12:00:00 AM,Culiseta,inornata,Female,,5,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
06/21/2005 12:00:00 AM,Male,UnID,Male,UnID,74,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
06/03/2003 12:00:00 AM,Male,UnID,Male,UnID,112,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/23/1994 12:00:00 AM,Culex,territans,Female,,6,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
06/09/2015 12:00:00 AM,Ochlerotatus,fitchii,Female,,1,Outer Community-South West,,Outer,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
09/03/2013 12:00:00 AM,Male,UnID,Male,UnID,7,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
08/08/2017 12:00:00 AM,Culiseta,minnesotae,Female,,1,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
09/10/2013 12:00:00 AM,Aedes,dorsalis,Female,,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
09/13/2016 12:00:00 AM,Culex,territans,Female,,2,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
07/08/2014 12:00:00 AM,Culex,territans,Female,,8,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
